station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Swineshead,PE20 3PU,52.9698022690675,-0.18716743832927,SWE,6228.0,44205,SWSHEAD
Swinton (Manchester),M27 6BT,53.5148344866017,-2.33746134321744,SNN,2800.0,35146,SWNT
Swinton (South Yorks),S64 8SP,53.4862403951498,-1.30582138562356,SWN,6686.0,24108,SWINTN
Sydenham,SE26 5EU,51.427246295592,-0.0542439819182943,SYD,5437.0,87626,SYDENHM
Sydenham Hill,SE21 7ND,51.4327125692397,-0.0803395721522796,SYH,5085.0,88278,SYDNHMH
Syon Lane,TW7 5NT,51.4817837990482,-0.324841915789914,SYL,5609.0,87143,SYONLA
Syston,LE7 2HA,52.6942107010372,-1.08239882395378,SYS,1900.0,59024,SYSTON
Tackley,OX5 3AT,51.8812383380039,-1.29753564148468,TAC,3195.0,74605,TACKLEY
Tadworth,KT18 5AJ,51.2916362036915,-0.235964669294279,TAD,5386.0,87708,TADWTH
Taffs Well,CF15 7PE,51.5408080211,-3.26293846869896,TAF,3880.0,78220,TAFFSWL
Tain,IV19 1JA,57.8144243413039,-4.05205000822053,TAI,8676.0,01044,TAIN
Tal-y-Cafn,LL28 5RR,53.2283672773628,-3.81826391859997,TLC,2463.0,40057,TALYCFN
Talsarnau,LL47 6UA,52.9043130170239,-4.06815554408731,TAL,4479.0,64425,TLSRNAU
Talybont,LL43 2AQ,52.772635080581,-4.09659731973852,TLB,4355.0,64416,TALB
Tame Bridge Parkway,WS10 0LD,52.5529341432741,-1.97621172597625,TAB,1010.0,65671,TAMEBDG
Tamworth,B79 7JT,52.6374753333131,-1.68646456180462,TAM,1322.0,69001,TMWTHLL
Taplow,SL6 0NU,51.5235617930705,-0.681370468757236,TAP,3151.0,74001,TAPLOW
Tattenham Corner,KT18 5QD,51.3091819561077,-0.242609291525166,TAT,5387.0,87707,TATNHMC
Taunton,TA1 1QP,51.0233058085266,-3.10274208613258,TAU,3471.0,83009,TAUNTON
Taynuilt,PA35 1JH,56.4308143473302,-5.23961145057687,TAY,8727.0,06048,TAYNULT
Teddington,TW11 0BB,51.4244795215342,-0.33270599121149,TED,5572.0,87159,TEDNGTN
Teesside Airport,DL2 1NL,54.5181332203211,-1.42531155969531,TEA,7521.0,15711,TSDARPR
Teignmouth,TQ14 8PG,50.5480661411992,-3.49466343825348,TGM,3430.0,83607,TEINMTH
Telford Central,TF3 4LZ,52.6811099530393,-2.44097128017569,TFC,4691.0,64827,TELFRDC
Templecombe,BA8 0JR,51.0015054051895,-2.41772499837911,TMC,5837.0,82338,TMPCMB
Tenby,SA70 7JY,51.6729507834456,-4.70669715034849,TEN,4110.0,80211,TENBY
Teynham,ME9 9DU,51.3333894653357,0.807425483138007,TEY,5193.0,89149,TEYNHAM
Thames Ditton,KT7 0PA,51.3890958648714,-0.339152187620503,THD,5610.0,87179,TDITTON
Thanet Parkway,CT12 5HN,51.331294,1.361996,THP,2041.0,89494,THANETP
Thatcham,RG19 4PP,51.393844568173,-1.24319013835292,THA,3152.0,74723,THATCHM
Thatto Heath,WA9 5PE,53.4365850427077,-2.75937489885122,THH,2264.0,36616,THHT
The Hawthorns,B66 2HB,52.5053745899762,-1.96400908337047,THW,4523.0,65196,HNDSHWT
The Lakes (Warks),B94 5SE,52.3591451174965,-1.8446735644726,TLK,4538.0,66459,THELAKS
Theale,RG7 4AA,51.433451642275,-1.07497308631832,THE,3153.0,74702,THEALE
Theobalds Grove,EN8 7BG,51.6924549134607,-0.0348313830437476,TEO,6949.0,51940,THBLDSG
Thetford,IP24 1AH,52.4191224513121,0.745072939898829,TTF,7203.0,46261,THETFD
Thirsk,YO7 4LS,54.2282117548552,-1.37258814134247,THI,8191.0,16001,THIRSK
Thornaby,TS17 6AW,54.5592709095988,-1.30141207130572,TBY,7976.0,15316,TABY
Thorne North,DN8 4HZ,53.616062847934,-0.972330838820246,TNN,6530.0,20055,THORNEN
Thorne South,DN8 5QN,53.6033295887843,-0.955109263260391,TNS,6531.0,23004,THORNES
Thornford,DT9 6PT,50.9105787331418,-2.57898756413365,THO,5849.0,82313,THFORD
Thornliebank,G46 7DA,55.8111046952463,-4.31170812843507,THB,9812.0,07619,THLB
Thornton Abbey,DN39 6XF,53.6543014461694,-0.323021491305164,TNA,6210.0,21008,THABBEY
Thornton Heath,CR7 8RX,51.3987757749122,-0.100305947353252,TTH,5388.0,87635,THTH
Thorntonhall,G74 5AB,55.7686836834217,-4.25116313776555,THT,9825.0,07611,THAL
Thorpe Bay,SS1 3JY,51.5375674675467,0.761727916259285,TPB,7460.0,51004,THOPBAY
Thorpe Culvert,PE24 4NL,53.1230899066145,0.19941514489068,TPC,6267.0,44223,TCULVRT
Thorpe-le-Soken,CO16 0HQ,51.8476329773871,1.16140033314945,TLS,6857.0,50024,THPLESK
Three Bridges,RH10 1LY,51.116922296857,-0.161184082771892,TBD,5491.0,87920,THBDGS
Three Oaks,TN35 4NL,50.9011126864871,0.613050942732097,TOK,5028.0,88295,THOK
Thurgarton,NG14 7JY,53.0289430587568,-0.962257040891579,THU,6203.0,55503,THRGRTN
Thurnscoe,S63 0JR,53.5450428254062,-1.30878375806351,THC,8282.0,24003,TRNO
Thurso,KW14 7DL,58.5901805763534,-3.52754885072794,THS,8677.0,01001,THURSO
Thurston,IP31 3QU,52.250000353675,0.808652672104784,TRS,7356.0,46401,THUSTON
Tilbury Town,RM18 7BJ,51.4623562687108,0.354038458127251,TIL,7462.0,51203,TLBYTWN
Tile Hill,CV4 8AS,52.3951047571949,-1.59684853626064,THL,1035.0,69209,TILEH
Tilehurst,RG31 6TH,51.4715087017527,-1.0298159548238,TLH,3154.0,74271,TILHRST
